company_id,industry
391906,Book and Periodical Publishing
22292832,Construction
20300,Banking
3570660,Book and Periodical Publishing
878353,Staffing and Recruiting
729238,IT Services and IT Consulting
766849,Staffing and Recruiting
12828,Food and Beverage Services
2934678,IT Services and IT Consulting
15984730,IT Services and IT Consulting
34771607,Financial Services
947812,Mining
6618000,IT Services and IT Consulting
5887,Staffing and Recruiting
34214892,E-Learning Providers
16239240,Truck Transportation
75056372,IT Services and IT Consulting
23656,Staffing and Recruiting
33218,Staffing and Recruiting
1712844,Real Estate
