salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
1,3884428798,,20.0,,HOURLY,USD,BASE_SALARY
2,3887470552,25.0,,23.0,HOURLY,USD,BASE_SALARY
3,3884431523,120000.0,,100000.0,YEARLY,USD,BASE_SALARY
4,3884911725,200000.0,,10000.0,YEARLY,USD,BASE_SALARY
5,3887473220,35.0,,33.0,HOURLY,USD,BASE_SALARY
6,3884432468,,48.43,,HOURLY,USD,BASE_SALARY
7,3884915161,80000.0,,50000.0,YEARLY,USD,BASE_SALARY
8,3884428983,101000.0,,84000.0,YEARLY,USD,BASE_SALARY
9,3884433248,55.0,,50.0,HOURLY,USD,BASE_SALARY
10,3884429625,100000.0,,72000.0,YEARLY,USD,BASE_SALARY
11,3884435029,24.0,,20.0,YEARLY,USD,BASE_SALARY
12,3887468966,100000.0,,95000.0,YEARLY,USD,BASE_SALARY
13,3887473087,80000.0,,75000.0,YEARLY,USD,BASE_SALARY
14,3887466954,160000.0,,110000.0,YEARLY,USD,BASE_SALARY
15,3884428729,67000.0,,50400.0,YEARLY,USD,BASE_SALARY
16,3884427990,,105000.0,,YEARLY,USD,BASE_SALARY
17,3884432493,18.43,,18.43,HOURLY,USD,BASE_SALARY
18,3887467990,80.0,,60.0,HOURLY,USD,BASE_SALARY
19,3884912432,38.0,,32.0,HOURLY,USD,BASE_SALARY
20,3884435030,48000.0,,43000.0,YEARLY,USD,BASE_SALARY
